epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,2306462.0,2292237.0,0.0,4836,4803,0,0.0,0.09814453125,0.036224365234375,0.03503097625867077,0.5167433637287632,0.1482576994548359,0,0,0.0,0,0,0,0,28573,8852230.0,123008.0,0.080078125,346932.0,0.0,479,0.000732421875,177861.0,0.0,416,0.017333984375,259942.0,0.0,476,0.004150390625,280590.0,0.0,425,0.09814453125,440647.0,0.0,487,0.045654296875,312767.0,0.0,479,0.043212890625,287029.0,0.0,485,0.00048828125,200694.0,0.0,369
1,2069206.0,2069206.0,0.0,3937,3937,0,0.0,0.09086914062500001,0.031817626953125004,0.029192971036388595,0.5429401983966345,0.13042756496936492,0,0,0.0,0,0,0,0,25736,8351726.0,7627.0,0.052929687499999996,223845.0,0.0,485,0.001904296875,186076.0,0.0,388,0.011376953125,198972.0,0.0,481,0.000146484375,217192.0,0.0,332,0.09086914062500001,360301.0,0.0,487,0.041552734375,324426.0,0.0,478,0.0427734375,243777.0,0.0,486,0.01298828125,314617.0,0.0,476
2,2242412.0,2242412.0,0.0,4079,4079,0,0.0,0.15791015625,0.042523193359375,0.05319760039013728,0.3898582709243801,0.17203439867428472,0,0,0.0,0,0,0,0,25578,8715839.0,7468.0,0.087353515625,247442.0,0.0,485,0.0,218148.0,0.0,418,0.0,162286.0,0.0,448,0.000390625,304839.0,0.0,437,0.15791015625,489467.0,0.0,481,0.0537109375,330524.0,0.0,487,0.040673828125,259018.0,0.0,482,0.000146484375,230688.0,0.0,409
3,2116085.0,2116085.0,0.0,4050,4050,0,0.0,0.18994140625,0.053985595703125,0.06512744357115594,0.40727689203520046,0.18385514995853192,0,0,0.0,0,0,0,0,23790,8067268.0,5670.0,0.11210937500000001,266268.0,0.0,476,0.0,148825.0,0.0,361,0.000732421875,152334.0,0.0,372,0.0,280862.0,0.0,430,0.18994140625,412112.0,0.0,473,0.07612304687499999,365198.0,0.0,488,0.052978515625,275059.0,0.0,485,0.0,215427.0,0.0,363
4,2049050.0,2049050.0,0.0,3945,3945,0,0.0,0.206591796875,0.060272216796875,0.06854914862925225,0.43601472545030084,0.14284400087845572,0,0,0.0,0,0,0,0,23082,7739855.0,7185.0,0.120556640625,259630.0,0.0,480,0.0,152552.0,0.0,346,0.009716796875,213274.0,0.0,463,0.00830078125,307100.0,0.0,445,0.206591796875,346794.0,0.0,476,0.077001953125,329747.0,0.0,482,0.057812499999999996,247946.0,0.0,482,0.002197265625,192007.0,0.0,323
5,2019458.0,2019458.0,0.0,3756,3756,0,0.0,0.242431640625,0.06455078125,0.07960861639947307,0.39667463845417655,0.19917670979044866,0,0,0.0,0,0,0,0,22698,7660141.0,5874.0,0.106494140625,180407.0,0.0,478,0.00048828125,101512.0,0.0,257,0.005712890625,215241.0,0.0,491,0.00029296875,266832.0,0.0,409,0.242431640625,382856.0,0.0,485,0.10244140624999999,392929.0,0.0,475,0.058251953125,245288.0,0.0,483,0.00029296875,234393.0,0.0,387
6,2058497.0,2058497.0,0.0,3793,3793,0,0.0,0.253076171875,0.07282714843749999,0.08769562515169071,0.4081639741560862,0.1722343413665406,0,0,0.0,0,0,0,0,23034,8020636.0,6601.0,0.116748046875,238951.0,0.0,481,0.00029296875,141888.0,0.0,329,0.0,175524.0,0.0,428,0.002490234375,257914.0,0.0,362,0.253076171875,316913.0,0.0,480,0.151025390625,436243.0,0.0,482,0.058837890625,239516.0,0.0,470,0.000146484375,251548.0,0.0,361
7,2250382.0,2250382.0,0.0,4299,4299,0,0.0,0.268212890625,0.09442138671875,0.10400970800989626,0.4517919009219344,0.20273258051299736,0,0,0.0,0,0,0,0,23130,8078985.0,6590.0,0.198095703125,383851.0,0.0,482,0.000146484375,125033.0,0.0,325,0.007568359375,175257.0,0.0,413,0.00043945312499999996,254902.0,0.0,398,0.268212890625,327704.0,0.0,484,0.200927734375,459081.0,0.0,474,0.0791015625,278488.0,0.0,480,0.00087890625,246066.0,0.0,363
8,2125747.0,2125747.0,0.0,3856,3856,0,0.0,0.308349609375,0.10037841796875001,0.1200823868371846,0.4113330247185404,0.2512456209511291,0,0,0.0,0,0,0,0,22871,8084392.0,6668.0,0.19248046875,297488.0,0.0,476,0.0,119148.0,0.0,251,0.0005859375,167325.0,0.0,430,0.000146484375,245310.0,0.0,410,0.308349609375,382083.0,0.0,483,0.2466796875,515694.0,0.0,482,0.054638671874999996,162665.0,0.0,479,0.000146484375,236034.0,0.0,351
9,2113365.0,1994366.0,118999.0,3901,3676,225,0.05630783134953023,0.4392070926851864,0.1200315018200233,0.155173356543498,0.3743552755176257,0.24061928488453255,0,0,0.0,0,0,0,0,22772,7971150.0,6851.0,0.20815429687499998,306919.0,0.0,483,0.00048828125,107291.0,0.0,278,0.00302734375,189570.0,0.0,425,0.0016113281250000001,247000.0,0.0,403,0.4392070926851864,452999.0,118999.0,473,0.264111328125,432003.0,0.0,479,0.043505859375,183326.0,0.0,481,0.000146484375,194257.0,0.0,324
